# GT DIGEST pasted from the red-zone report 'myldo' (build 76c630d59, 2026-06-11)
# RED-ZONE VERIFICATION ROUND 7: report TOTAL composite = 1.81, header showed
# C_ft=174.4fF + noise HYBRID 4 sections @ fvk = 546 3.38e4 1.33e6 4.94e10
# (the 49.4GHz pole sits beyond the 6.3GHz noise-data top -> bound-riding, see ident)
# Zout sign auto-corrected at import for z_100u/z_200u/z_300u (known testbench V/I inversion)
# columns: f[Hz], |Z|[ohm], Zph[deg], PSRRatt[dB], Hph[deg], Sv[V/rtHz]
# corner 100u
1.5861e+04, 4.124, 85.41, 46.35, 88.33, 1.065e-06
2.5141e+04, 6.522, 84.66, 42.36, 87.47, 8.568e-07
3.9850e+04, 10.28, 82.78, 38.39, 86.08, 6.891e-07
6.3167e+04, 16.1, 79.42, 34.47, 83.91, 5.526e-07
1.0012e+05, 24.79, 74.09, 30.66, 80.7, 4.393e-07
1.5871e+05, 36.78, 66.4, 27.07, 76.37, 3.425e-07
2.5157e+05, 51.03, 56.8, 23.85, 71.67, 2.587e-07
3.9875e+05, 64.7, 47.41, 21, 68.36, 1.905e-07
6.3206e+05, 76.17, 41.14, 18.22, 67.62, 1.422e-07
1.0019e+06, 87.82, 39.44, 15.15, 68.05, 1.121e-07
1.5881e+06, 105.3, 41.05, 11.78, 67.02, 9.34e-08
2.5172e+06, 134.6, 42.44, 8.348, 62.64, 7.985e-08
3.9900e+06, 177.8, 40.1, 5.202, 54.26, 6.726e-08
6.3246e+06, 227.8, 33.15, 2.712, 42.59, 5.33e-08
1.0025e+07, 269.2, 23.56, 1.113, 29.77, 3.849e-08
1.3601e+07, 286.3, 17.23, 0.5305, 21.95, 2.949e-08
1.5698e+07, 291.4, 14.5, 0.3632, 18.68, 2.573e-08
1.5891e+07, 291.8, 14.27, 0.3516, 18.41, 2.542e-08
1.8117e+07, 294.9, 11.98, 0.2499, 15.69, 2.232e-08
2.0910e+07, 297, 9.703, 0.1796, 13.02, 1.927e-08
2.4133e+07, 298.1, 7.667, 0.1413, 10.66, 1.661e-08
2.5188e+07, 298.3, 7.104, 0.1344, 10.02, 1.588e-08
2.7853e+07, 298.5, 5.857, 0.1245, 8.59, 1.43e-08
3.2146e+07, 298.5, 4.244, 0.1206, 6.766, 1.233e-08
3.7101e+07, 298.3, 2.782, 0.1229, 5.146, 1.067e-08
3.9925e+07, 298.2, 2.077, 0.1251, 4.379, 9.934e-09
4.2820e+07, 298.1, 1.424, 0.1274, 3.677, 9.293e-09
4.9420e+07, 297.9, 0.1179, 0.1326, 2.307, 8.159e-09
5.7038e+07, 297.6, -1.179, 0.1386, 0.9904, 7.232e-09
6.3285e+07, 297.4, -2.135, 0.1445, 0.04732, 6.672e-09
6.5830e+07, 297.3, -2.505, 0.1472, -0.3108, 6.481e-09
1.0031e+08, 295, -6.836, 0.2101, -4.303, 5.013e-09
1.5900e+08, 287.9, -12.81, 0.412, -9.377, 4.15e-09
2.5204e+08, 272.5, -20.5, 0.873, -15.44, 3.604e-09
3.9950e+08, 245.5, -29.88, 1.733, -22.12, 3.119e-09
6.3325e+08, 207.5, -40.4, 3.08, -28.35, 2.596e-09
1.0038e+09, 163.1, -51.22, 4.899, -32.62, 2.035e-09
1.5910e+09, 119, -61.13, 7.018, -33.11, 1.493e-09
2.5219e+09, 81.77, -68.9, 9.024, -28.78, 1.042e-09
3.9975e+09, 54.34, -74.13, 10.46, -20.99, 7.136e-10
6.3364e+09, 35.59, -77.23, 11.19, -12.61, 4.937e-10
1.0044e+10, 23.15, -78.43, 11.43, -5.181, -
1.5920e+10, 16.36, -80.56, 10.63, -1.504, -
2.5235e+10, 10.34, -82.27, 10.72, 0.3948, -
4.0000e+10, 6.723, -83.51, 10.49, 1.275, -
