 4.46683592e+03  6.10473407e-10 
 5.01187234e+03  6.10473375e-10 
 5.62341325e+03  6.10473336e-10 
 6.30957344e+03  6.10473286e-10 
 7.07945784e+03  6.10473223e-10 
 7.94328235e+03  6.10473144e-10 
 8.91250938e+03  6.10473044e-10 
 1.00000000e+04  6.10472919e-10 
 1.12201845e+04  6.10472761e-10 
 1.25892541e+04  6.10472563e-10 
 1.41253754e+04  6.10472313e-10 
 1.58489319e+04  6.10471998e-10 
 1.77827941e+04  6.10471602e-10 
 1.99526231e+04  6.10471103e-10 
 2.23872114e+04  6.10470475e-10 
 2.51188643e+04  6.10469685e-10 
 2.81838293e+04  6.10468690e-10 
 3.16227766e+04  6.10467437e-10 
 3.54813389e+04  6.10465860e-10 
 3.98107171e+04  6.10463875e-10 
 4.46683592e+04  6.10461375e-10 
 5.01187234e+04  6.10458228e-10 
 5.62341325e+04  6.10454267e-10 
 6.30957344e+04  6.10449280e-10 
 7.07945784e+04  6.10443002e-10 
 7.94328235e+04  6.10435099e-10 
 8.91250938e+04  6.10425150e-10 
 1.00000000e+05  6.10412626e-10 
 1.12201845e+05  6.10396859e-10 
 1.25892541e+05  6.10377013e-10 
 1.41253754e+05  6.10352030e-10 
 1.58489319e+05  6.10320582e-10 
 1.77827941e+05  6.10281000e-10 
 1.99526231e+05  6.10231179e-10 
 2.23872114e+05  6.10168475e-10 
 2.51188643e+05  6.10089564e-10 
 2.81838293e+05  6.09990264e-10 
 3.16227766e+05  6.09865321e-10 
 3.54813389e+05  6.09708137e-10 
 3.98107171e+05  6.09510426e-10 
 4.46683592e+05  6.09261797e-10 
 5.01187234e+05  6.08949223e-10 
 5.62341325e+05  6.08556399e-10 
 6.30957344e+05  6.08062942e-10 
 7.07945784e+05  6.07443420e-10 
 7.94328235e+05  6.06666174e-10 
 8.91250938e+05  6.05691909e-10 
 1.00000000e+06  6.04472029e-10 
 1.12201845e+06  6.02946721e-10 
 1.25892541e+06  6.01042791e-10 
 1.41253754e+06  5.98671335e-10 
 1.58489319e+06  5.95725383e-10 
 1.77827941e+06  5.92077756e-10 
 1.99526231e+06  5.87579542e-10 
 2.23872114e+06  5.82059763e-10 
 2.51188643e+06  5.75327031e-10 
 2.81838293e+06  5.67174154e-10 
 3.16227766e+06  5.57386732e-10 
 3.54813389e+06  5.45756605e-10 
 3.98107171e+06  5.32100426e-10 
 4.46683592e+06  5.16282581e-10 
 5.01187234e+06  4.98240122e-10 
 5.62341325e+06  4.78005757e-10 
 6.30957344e+06  4.55723782e-10 
 7.07945784e+06  4.31654033e-10 
 7.94328235e+06  4.06160811e-10 
 8.91250938e+06  3.79687125e-10 
 1.00000000e+07  3.52718339e-10 
 1.12201845e+07  3.25741930e-10 
 1.25892541e+07  2.99210580e-10 
 1.41253754e+07  2.73514155e-10 
 1.58489319e+07  2.48963239e-10 
 1.77827941e+07  2.25783986e-10 
 1.99526231e+07  2.04122031e-10 
 2.23872114e+07  1.84052338e-10 
 2.51188643e+07  1.65591986e-10 
 2.81838293e+07  1.48713530e-10 
 3.16227766e+07  1.33357393e-10 
 3.54813389e+07  1.19442490e-10 
 3.98107171e+07  1.06874793e-10 
 4.46683592e+07  9.55539047e-11 
 5.01187234e+07  8.53778853e-11 
 5.62341325e+07  7.62466386e-11 
 6.30957344e+07  6.80641629e-11 
 7.07945784e+07  6.07399453e-11 
 7.94328235e+07  5.41897280e-11 
 8.91250938e+07  4.83358282e-11 
 1.00000000e+08  4.31071519e-11 
